PB_ratio,Market_Cap,Debt_to_Equity,Z_score,Quick_Ratio,Total_Asset_Growth,Net_Debt,Operating_Profitability
7.92957087,30434121434,0.869414261,1.28153901,0.55739,0.119969286,21163620000,3855500000
8.103923783,47281493956,0.798482407,1.969373023,0.57661,0.307646875,19009830000,5450450000
2.816039544,4629395233,2.339044239,1.454283832,0.60577,-0.004283597,3304577000,313178000
2.870053747,3410753194,2.550992957,0.747234288,0.53058,0.285110806,3288816000,25301000
3.465208302,2871339851,2.958079085,0.804089903,1.48808,-0.048603573,2944631000,-932000
2.866864801,1030400000,2.539625374,0.580808858,2.22493,0.458522452,2972643000,73236000
2.979876072,917000000,1.41466556,0.740112128,1.263,0.128224994,1720397000,158557000
3.178815592,1372000000,1.381092647,1.401593586,9.45074,0.16468803,1184495000,153590000
3.478162679,3192000000,1.235311005,1.595557125,0.67793,0.025953566,1257900000,136700000
3.801171303,2270800000,1.387575821,1.980884773,10.19976,0.064101999,1162300000,142600000
4.270567501,631400000,1.481964517,1.257725164,6.96271,0.470132323,1175200000,83322000
4.67527456,333200000,0.745053549,1.540806235,7.94535,0.04244464,566043000,73453000
0.869356382,6358778054,0.747649065,0.720959763,0.33273,0.090068096,2422600000,-531600000
0.802914217,3422222731,0.739759663,0.338353265,0.33369,-0.042064841,9057581000,872442000
0.807276601,4840572215,0.527139711,0.43854376,0.35664,0.062218585,-93524000,-619855000
0.737152608,1203778665,0.538596953,0.341238887,0.41965,-0.037332088,7031826000,-187070000
0.679208876,1069217304,0.464093891,0.354945968,0.31694,-0.027005951,6687492000,748760000
0.649526998,3018538647,0.563263867,0.552271599,0.49268,-0.031270616,8344810000,1632639000
0.641720301,9433842469,0.622471107,0.570487314,0.48216,-0.010755705,9845289000,370591000
0.630464296,6437124584,1.093049968,0.78110984,0.4165,0.051755569,17924831000,3725066000
0.615890085,8030040158,0.970661528,0.775688354,0.33085,0.075030363,15971771000,3493680000
0.62040593,7935483526,0.87917205,0.83769264,0.37986,-0.110400153,14477273000,3265894000
-0.542973087,4678197578,19.46522728,-0.653618949,0.10903,-0.079374123,33337478000,-1510838000
-1.976201106,4155980173,19.46522728,-0.324528848,0.10815,-0.118855831,34563657000,-1083087000
3.312186977,10096203144,19.46522728,-0.177766562,0.14416,-0.028427159,34168966000,-251967000
0.985896352,2175905850,5.84331258,0.009864976,0.12726,-0.165023543,35392857000,298205000
0.635373376,979157632.5,4.516403371,0.06133091,0.13253,0.154646909,42220390000,-802016000
0.276591502,3198581600,2.050379982,0.499215177,0.52409,0.054532335,44305503000,-511716000
0.241242287,13164230393,1.587390476,0.692543411,0.77947,0.065280523,39261831000,451620000
0.227624188,5635596152,1.198942583,0.753902082,0.73257,0.008718716,31166690000,680984000
0.224483809,11205915128,1.121076068,1.076822458,1.20294,-0.08944576,28040715000,3192754000
0.215427016,7311043656,1.129655314,0.982875086,1.01238,0.095480768,30508335000,1960193000
2.690072597,47154715097,0.111341936,2.155451344,0.24835,-0.101427138,1522600000,-4394300000
2.019141169,43881209344,0.073308039,0.303076206,0.50004,-0.160415073,839500000,-7421700000
1.824941085,71436638436,0.389157233,0.900248305,0.40872,-0.114878029,11386386000,-124568000
1.777334829,37116482126,0.351268624,0.73771822,0.39332,-0.22415221,10250868000,1635897000
1.746480845,29712284297,0.769289872,0.394010009,0.49185,-0.302940714,23606774000,-2192282000
1.563794155,39411991273,1.384142572,0.700704533,0.26321,-0.193632319,47953512000,8460765000
1.627212141,1.05995E+11,1.652675462,0.384086604,0.29153,-0.044557032,34189918000,2217638000
10.86512278,36099834154,17.39872845,0.593343337,0.16719,0.159703025,89685539000,6399771000
1.398759831,29524291409,2.229410333,0.931741205,1.01423,0.07121194,73981336000,8941626000
1.859563804,29280966217,2.901032607,0.816471216,0.84872,0.255780586,83852456000,5547218650
5.302058543,44323276313,1.765837909,0.96100539,0.2032,0.166226433,22859800000,4347600000
5.020936495,21782198659,1.481610856,0.62369048,0.16216,0.166031386,25864400000,2130300000
4.884991626,32975663838,1.286401967,0.822032303,0.13628,0.023123678,23268900000,1965900000
5.261394431,19968003561,1.495529993,0.718243685,0.12408,0.043329558,26618700000,2638900000
5.212240249,13576819524,1.407921206,0.780309404,0.10876,-0.074999198,25878400000,4282600000
5.372530497,17193352235,1.559316009,0.864192787,0.09103,0.285988585,27460000000,4277900000
